probeID	Array1Dye1	Array2Dye1	Array3Dye1	Array4Dye1	Array5Dye1	Array6Dye1	Array7Dye1	Array8Dye1	Array9Dye1	Array10Dye1	Array11Dye1	Array12Dye1	Array13Dye1	Array14Dye1	Array15Dye1	Array16Dye1	Array17Dye1	Array18Dye1
1415670_at	9.172966	9.236673	8.789873	8.698874	9.08475	8.950005	8.768832	8.910263	8.616221	8.696152	8.726129	8.735203	8.882124	8.941473	8.886297	8.854592	8.825425	8.806125
1415671_at	10.665967	10.677811	10.463303	10.464032	10.421485	10.476741	10.491172	10.540337	10.402518	10.469266	10.365152	10.394068	10.394293	10.449829	10.378914	10.46395	10.405293	10.455749
1415672_at	10.543986	10.730144	10.80749	10.68957	10.700285	10.672111	10.634898	10.625371	10.771487	10.741797	10.663337	10.661395	10.660535	10.719098	10.668195	10.572889	10.808928	10.628686
1415673_at	7.484655	7.68995	7.168615	7.187604	7.759325	7.824022	6.942822	6.827884	6.68525	6.689037	6.848498	6.781816	7.200187	7.361489	7.080848	7.259516	7.288453	7.126164
1415674_a_at	8.609731	8.586798	8.718695	8.781891	8.590931	8.468181	8.676904	8.669656	8.66099	8.740378	8.676887	8.685369	8.78771	8.693212	8.669381	8.622764	8.569841	8.713076
1415675_at	8.572013	8.555147	8.532075	8.580723	8.576206	8.463184	8.429566	8.423398	8.409188	8.35468	8.397545	8.370507	8.515798	8.507163	8.454157	8.47746	8.542899	8.671003
1415676_a_at	10.96821	11.002438	11.101836	11.074569	10.946253	10.886192	11.14809	11.164838	11.108593	11.110554	11.004085	11.079401	10.964755	11.017646	11.022981	10.982365	11.059875	11.091044
1415677_at	10.354468	10.32511	10.484887	10.310581	10.29161	10.309674	10.473473	10.440797	10.368841	10.392534	10.357505	10.373493	10.264374	10.29482	10.274893	10.264562	10.350948	10.339456
1415678_at	10.531922	10.615315	10.583822	10.55821	10.436681	10.43593	10.599751	10.654462	10.652202	10.770182	10.622646	10.667204	10.592706	10.58232	10.553059	10.609494	10.546382	10.420555
1415679_at	10.733904	10.800496	10.758719	10.749906	10.73768	10.643758	10.738743	10.696324	10.694009	10.714825	10.778382	10.730601	10.654174	10.717389	10.764626	10.726375	10.612677	10.671859
