metarow	metacol	Column	Row	Name	ID	F635.Median.M1K3.1	F532.Median.M1K3.1	Flags.M1K3.1	F635.Median.M1K3.2	F532.Median.M1K3.2	Flags.M1K3.2	F635.Median.M1K5.1	F532.Median.M1K5.1	Flags.M1K5.1	F635.Median.M1K5.2	F532.Median.M1K5.2	Flags.M1K5.2	F635.Median.M2K3.1	F532.Median.M2K3.1	Flags.M2K3.1	F635.Median.M2K3.2	F532.Median.M2K3.2	Flags.M2K3.2	F635.Median.M2K5.1	F532.Median.M2K5.1	Flags.M2K5.1	F635.Median.M2K5.2	F532.Median.M2K5.2	Flags.M2K5.2	F635.Median.M3K3.1	F532.Median.M3K3.1	Flags.M3K3.1	F635.Median.M3K3.2	F532.Median.M3K3.2	Flags.M3K3.2	F635.Median.M3K5.1	F532.Median.M3K5.1	Flags.M3K5.1	F635.Median.M3K5.2	F532.Median.M3K5.2	Flags.M3K5.2	F635.Median.M4K3.1	F532.Median.M4K3.1	Flags.M4K3.1	F635.Median.M4K3.2	F532.Median.M4K3.2	Flags.M4K3.2	F635.Median.M4K5.1	F532.Median.M4K5.1	Flags.M4K5.1	F635.Median.M4K5.2	F532.Median.M4K5.2	Flags.M4K5.2	F635.Median.M5K3.1	F532.Median.M5K3.1	Flags.M5K3.1	F635.Median.M5K3.2	F532.Median.M5K3.2	Flags.M5K3.2	F635.Median.M5K5.1	F532.Median.M5K5.1	Flags.M5K5.1	F635.Median.M5K5.2	F532.Median.M5K5.2	Flags.M5K5.2	F635.Median.M6K3.1	F532.Median.M6K3.1	Flags.M6K3.1	F635.Median.M6K3.2	F532.Median.M6K3.2	Flags.M6K3.2	F635.Median.M6K5.1	F532.Median.M6K5.1	Flags.M6K5.1	F635.Median.M6K5.2	F532.Median.M6K5.2	Flags.M6K5.2
1	1	 1	 1	AI385562	303513	  342	  173	  0	  270	  149	  0	  155	  381	  0	  166	  440	  0	  477	  173	  0	  383	  183	  0	  141	  343	  0	   79	  266	-50	  320	  391	  0	  259	  297	  0	  213	  856	  0	   90	  501	-50	  239	  327	  0	  255	  275	  0	  155	  622	  0	  273	  752	  0	  711	  570	  0	  524	  384	  0	  229	  506	  0	  530	  760	  0	  704	  706	  0	  403	  394	  0	  563	  844	  0	 1092	 1279	  0
1	1	 2	 1	AI893883	315363	  240	   97	-50	  258	  179	  0	   79	  252	-50	  108	  291	  0	  401	  135	-50	  296	  120	-50	  108	  233	  0	   87	  260	  0	  295	  385	  0	  274	  307	  0	   95	  660	-50	  144	  614	  0	  298	  422	  0	  317	  361	  0	  185	  682	  0	  366	  756	  0	  420	  434	  0	  524	  654	  0	  533	  838	  0	  369	  600	  0	 1386	 1046	  0	  791	  740	  0	  723	 1087	  0	 1182	 1624	  0
1	1	 3	 1	AI385582	329436	  441	  481	  0	  329	  359	  0	  397	  453	  0	  455	  516	  0	  556	  513	  0	  565	  683	  0	  404	  428	  0	  127	  299	  0	  374	  636	  0	  294	  433	  0	  727	 1032	  0	  221	  560	  0	  289	  457	  0	  350	  532	  0	  378	  681	  0	  379	  690	  0	  658	 1196	  0	  405	  493	  0	  195	  385	  0	  251	  363	  0	  549	  624	  0	  306	  353	  0	  329	  492	  0	  555	  702	  0
1	1	 4	 1	AI385591	331130	  385	  358	  0	  280	  346	  0	  253	  338	  0	  453	  460	  0	  540	  557	  0	  491	  772	  0	  387	  340	  0	  154	  303	  0	  432	  803	  0	  314	  488	  0	  918	 1041	  0	  415	  678	  0	  324	  490	  0	  298	  454	  0	  451	  812	  0	  473	  762	  0	  963	 1727	  0	 1084	 1003	  0	  543	  836	  0	  476	 1036	  0	 1196	 1071	  0	  674	  741	  0	  742	 1102	  0	 1066	 1341	  0
1	1	 5	 1	AI385595	335058	  444	  870	  0	  310	  665	  0	  590	  487	  0	  813	  554	  0	  592	 1145	  0	  556	 1587	  0	  776	  435	  0	  308	  346	  0	  349	 1416	  0	  260	  763	  0	 2382	 1006	  0	 1208	  681	  0	  240	  581	  0	  328	  824	  0	  774	  678	  0	  840	  677	  0	  570	  868	  0	  354	  419	  0	  149	  374	  0	  237	  420	  0	  745	 1179	  0	  257	  510	  0	  429	  451	  0	  479	  543	  0
1	1	 6	 1	AI385598	335579	  494	  447	  0	  395	  387	  0	  320	  624	  0	  486	  774	  0	  745	  673	  0	  752	  864	  0	  496	  654	  0	   92	  321	  0	  482	  705	  0	  322	  403	  0	  918	 1223	  0	  410	  778	  0	  322	  437	  0	  508	  555	  0	  362	  819	  0	  353	  667	  0	 1094	 1572	  0	  634	  653	  0	  192	  437	  0	  256	  458	  0	  483	  540	  0	  172	  184	-50	  286	  474	  0	  214	  440	  0
1	1	 7	 1	AI385688	404508	  512	  214	  0	  402	  159	  0	  139	  601	  0	  174	  704	  0	  774	  245	  0	  757	  275	  0	  222	  633	  0	   98	  376	  0	  429	  404	  0	  323	  293	  0	  334	 1300	  0	  162	  776	  0	  328	  314	  0	  489	  364	  0	  237	  790	  0	  282	  838	  0	 1347	  692	  0	  786	  350	  0	  234	  569	  0	  413	  657	  0	 1122	 1108	  0	  334	  268	  0	  289	  522	  0	  364	  605	  0
1	1	 8	 1	AI385523	472233	  346	  215	  0	  285	  151	  0	  132	  338	  0	  180	  411	  0	  504	  232	  0	  402	  262	  0	  209	  374	  0	   83	  277	-50	  294	  386	  0	  214	  293	  0	  325	  931	  0	  192	  642	  0	  207	  302	  0	  267	  381	  0	  189	  579	  0	  248	  666	  0	  588	  493	  0	  691	  433	  0	  219	  518	  0	  263	  476	  0	  810	  844	  0	  276	  280	  0	  388	  541	  0	  385	  607	  0
1	1	 9	 1	AI385525	472348	  333	  212	  0	  259	  162	-50	  146	  324	  0	  161	  345	  0	  443	  225	-50	  357	  252	  0	  182	  309	  0	   74	  258	-50	  263	  374	  0	  218	  292	  0	  288	  843	-50	  149	  607	-50	  194	  305	  0	  226	  380	  0	  151	  558	  0	  219	  622	  0	  388	  457	  0	  384	  320	  0	  142	  406	  0	  218	  427	  0	  751	  811	  0	  192	  210	  0	  254	  464	  0	  376	  617	  0
1	1	10	 1	AI385534	473212	  390	  202	  0	  308	  138	  0	  119	  361	  0	  167	  451	  0	  481	  192	-50	  479	  238	  0	  160	  379	  0	   68	  272	-50	  313	  359	  0	  260	  297	  0	  279	 1037	  0	  156	  705	  0	  251	  289	  0	  331	  361	  0	  147	  615	  0	  275	  753	  0	  647	  525	  0	  505	  347	  0	  179	  448	  0	  345	  596	  0	 1063	 1128	  0	  309	  267	  0	  326	  591	  0	  507	  791	  0
