Array	Dye	Sample
Array1	Cy5	1
Array1	Cy3	0
Array2	Cy5	1
Array2	Cy3	0
Array3	Cy5	0
Array3	Cy3	1
Array4	Cy5	0
Array4	Cy3	1
Array5	Cy5	2
Array5	Cy3	0
Array6	Cy5	2
Array6	Cy3	0
Array7	Cy5	0
Array7	Cy3	2
Array8	Cy5	0
Array8	Cy3	2
Array9	Cy5	3
Array9	Cy3	0
Array10	Cy5	3
Array10	Cy3	0
Array11	Cy5	0
Array11	Cy3	3
Array12	Cy5	0
Array12	Cy3	3
Array13	Cy5	4
Array13	Cy3	0
Array14	Cy5	4
Array14	Cy3	0
Array15	Cy5	0
Array15	Cy3	4
Array16	Cy5	0
Array16	Cy3	4
Array17	Cy5	5
Array17	Cy3	0
Array18	Cy5	5
Array18	Cy3	0
Array19	Cy5	0
Array19	Cy3	5
Array20	Cy5	0
Array20	Cy3	5
Array21	Cy5	6
Array21	Cy3	0
Array22	Cy5	6
Array22	Cy3	0
Array23	Cy5	0
Array23	Cy3	6
Array24	Cy5	0
Array24	Cy3	6
