cloneid	metarow	metacol	row	col	Array1.CY5	Array1.CY3	Array2.CY5	Array2.CY3	Array3.CY5	Array3.CY3	Array4.CY5	Array4.CY3	Array5.CY5	Array5.CY3	Array6.CY5	Array6.CY3	Array7.CY5	Array7.CY3	Array8.CY5	Array8.CY3	Array9.CY5	Array9.CY3	Array10.CY5	Array10.CY3	Array11.CY5	Array11.CY3	Array12.CY5	Array12.CY3	Array13.CY5	Array13.CY3	Array14.CY5	Array14.CY3	Array15.CY5	Array15.CY3	Array16.CY5	Array16.CY3	Array17.CY5	Array17.CY3	Array18.CY5	Array18.CY3	Array19.CY5	Array19.CY3	Array20.CY5	Array20.CY3	Array21.CY5	Array21.CY3	Array22.CY5	Array22.CY3	Array23.CY5	Array23.CY3	Array24.CY5	Array24.CY3	Array25.CY5	Array25.CY3	Array26.CY5	Array26.CY3	Array27.CY5	Array27.CY3	Array28.CY5	Array28.CY3
BG076765	1	1	1	1	251.170920625512	257.991649027775	447.505962803834	385.313301569538	235.438510101282	211.150673603117	288.949987565947	298.979074987097	373.878457104609	381.043618033706	203.339216398154	225.854121076553	371.51478579833	385.583576955564	255.109012981882	243.62134161216	312.809255115652	288.226766073996	290.851280044900	318.035389033599	310.512177021198	306.751255019211	157.629161336541	163.294658055337	336.743278202757	315.551955683046	467.101008857268	433.396623345465	844.7384148522	1002.34579736515	445.146530263497	459.974381646417	446.810161646058	471.291877571061	172.893468003263	188.960290850221	1009.88496201839	883.887802642365	738.354516568606	763.32031206263	342.328586685663	405.420421775756	403.81113664659	412.202598923557	335.509406393183	348.255511689207	256.699673489503	303.522006634675	175.070492843413	156.382720784864	247.595177673638	261.592332324719	280.619573346492	275.305101061532	374.099727996253	360.599032569603
BG076765	1	1	1	2	323.990918302336	303.255413808590	341.776433800950	308.061029337439	562.499768400819	564.224232309103	257.036929872668	278.574755913368	375.947109933068	398.377846358931	203.749011212327	209.007149269658	367.87403672587	366.103575013531	292.460818065160	272.036440731949	328.66859217638	285.424291316698	335.594376265864	322.621616025612	367.87715962357	356.504872806453	138.525159941141	126.128711978559	447.673679904559	451.864849510757	521.576208264479	474.388969587613	898.405987977131	1052.58759698302	448.648877014062	455.356093521654	588.804874375495	615.63688715123	173.578805722105	199.874632479867	999.46203216129	951.196713240009	869.02155582732	887.729418018364	348.461857478198	376.322392783562	441.193103515496	434.555750015857	344.443862278007	348.445750219610	226.099600747635	295.303484743983	193.684177639606	170.070681051152	267.011737397661	274.508531776034	343.724539634723	350.652880728519	357.806521035723	337.914467433445
BG076747	1	1	1	3	594.424168702087	578.031678540654	1080.27407635266	1052.34590451181	1204.04665475856	1135.83638523894	729.357716317062	713.353664957762	281.234517623205	298.608437931912	90.7631018449961	90.4993310390356	1388.55345744620	1458.55097557775	250.143873419174	237.659228616723	137.219155410913	127.460338519246	484.342968802476	468.387102967356	676.200171935589	613.043322383963	336.090801894218	282.149941222867	997.43874433675	1049.83389300393	838.605871602986	680.533036227275	461.608637821548	528.447650267548	199.710798436415	178.843609257172	254.984427048019	228.445323796305	165.327959418678	181.378879322284	880.341168816288	961.686252999346	1249.08883126530	1282.59893123624	73.3094700721246	83.2634582407246	176.455664312694	151.465809296082	159.622089002228	153.249466617734	404.653174580004	364.24278680868	142.639297154109	146.944077951776	1342.20430317721	1268.37322453081	166.862911720070	156.991147583152	251.898834141262	285.975916663444
BG076747	1	1	1	4	720.612407612489	667.834740168383	1088.55760030380	1029.78473503575	1132.39349924847	1149.68162645230	886.323383016407	842.234351822557	315.374152892344	331.701247678689	136.948416073041	147.515397251658	1411.97755585328	1468.39798650131	273.431122204082	250.468927779493	232.798661821238	223.106952564371	546.886605877633	517.386962779833	834.779360486641	751.456048978392	424.569148548033	389.067365268798	1204.20992156854	1413.48777278208	1059.33230786709	918.606930774453	1324.87168169996	1499.88714186287	482.978827634976	511.35367819199	1235.68101564900	1148.89682856734	198.290259430035	216.727741057616	1047.71677891575	1109.37232598569	421.207897189214	448.733276990516	78.5830372080207	104.933587361502	239.240714804662	235.645508942868	150.529272184967	148.104084185072	417.150648649013	429.370062302608	146.245716805341	175.389751989395	1150.50073990695	1090.4191162028	164.982644641480	152.209949443897	220.068467237011	243.556019964799
AA408676	1	1	1	5	99.0372446307448	93.7223166355996	95.6768278910686	96.6796266545486	155.952405503147	278.854307246466	80.8405063494334	79.5640736365215	125.300391391188	134.317218111927	75.4747563909598	75.5749375387612	97.4048275269974	92.0282929253736	98.1073561605984	111.999756491379	83.4598762239623	85.4782000976865	120.111668499816	129.670998617623	82.1356071245951	90.9106325673466	71.523613045005	69.8790201895296	148.711013180517	142.854248287667	163.897918562451	160.783005855922	347.541184768527	380.829685230404	152.493109817671	177.529332521114	976.137607508624	941.71148916817	104.078894836650	114.701448538021	285.060641229586	287.928209401226	249.576021062671	273.487812288105	122.639880008490	170.270877617904	166.565593533832	208.056173335467	138.768059508166	163.315679993827	121.650682677929	136.990599914023	100.034381824306	100.765355032671	129.200967472196	157.568479542392	134.300414305754	127.832814878103	153.747659012526	149.088448872789
AA408676	1	1	1	6	121.169580144506	118.016419491971	154.989820803472	152.984240365473	204.342851049044	199.644860539842	83.3264871095388	77.0103267591779	131.744943014586	134.714848205104	89.5965193500898	89.6240172971848	144.912959875250	139.214601767619	99.3184446104344	111.983227723962	127.098521216433	134.163638072253	77.5784329142524	85.075191030154	123.653249226210	131.731273556760	71.0212459199213	74.6818776733434	93.7649427296944	97.9043951049393	169.138445424886	170.274711510163	325.921302242474	308.3198284635	175.209664443851	197.300760261877	196.270143886318	234.890539575407	110.93522594872	125.640885307638	275.249766678141	292.774090138402	263.222858296323	272.582709816287	126.632500457834	157.518803844847	144.257859572105	202.858964404451	148.091994279407	158.820198988100	132.802745475510	186.344039134068	89.2855703500503	96.7681559979544	127.422507204453	132.409888724983	133.183810149475	128.656778783916	126.445175805914	124.117032539774
BG063075	1	1	1	7	67.4661914347388	68.9975215883182	72.2972886922213	76.2407567379916	68.1983262435727	78.389020588373	56.915808879546	61.4240589534408	75.9553584023849	80.3103313354713	63.9939328227836	67.0844845852571	64.7621208990372	69.0527107191526	51.2675822041245	53.5816178937925	59.7790567415364	85.6487251402624	62.1708780728212	67.0892888968767	63.1565494299772	69.8264873525025	60.3809100123473	66.0804880082809	67.3287727147275	73.2970437603197	60.255401135932	72.2922745161577	45.3407285537924	62.8573931408876	41.2691668055064	51.9031559346675	44.0788977584611	51.7254313502507	50.4941316155954	57.3928079813722	51.8386130421443	55.3641355656394	48.5936640500217	55.6862721282857	55.2568583321353	65.8741758013252	57.2327717771866	66.867283920809	46.3380440673528	53.5197384765593	62.6087429955136	61.33328695443	43.7112898643855	46.9443936879086	45.9633345362484	51.69337742731	51.0465642747194	52.7165743323632	51.8520196566815	54.3083956737862
BG063075	1	1	1	8	64.6159689877626	73.4648117851335	76.1621743433407	74.9978588354133	72.398133748305	103.497142979537	57.0115360116933	59.7072143311808	71.6985458362504	77.1145346884367	65.2146100208779	65.4147897017904	59.5943222663778	61.5159273665958	51.2980562378113	51.9512861782793	56.9808362882838	69.4794997386523	60.9029944210583	66.2036413534022	65.7708925426559	72.919794982097	62.9856133968353	65.6657890102855	73.7456304342153	78.2690440913501	60.4731709990243	69.121561362599	48.7091549574267	64.8132779712421	42.5435402621589	49.3611953086068	1544.85640039355	997.1101518611	46.2960871280114	50.0690262136106	54.2318770372876	57.8810871296553	47.4880548084941	55.5929277509128	53.8752639184748	67.3221760080555	1756.85011935329	974.126922466203	46.406735855894	51.7166302636039	67.4368719000545	65.5427791275774	49.2699276107873	50.6191123255062	44.8806546980356	49.9101453637673	50.8212238803594	56.7872982908493	57.3408865204451	56.3995465756691
BG063058	1	1	1	9	151.613171916256	146.022932705534	293.561816262593	289.083917930555	321.967044601665	342.196513113038	152.805958317645	162.761977830075	187.122679554059	192.483348816061	91.1715304226477	106.327051383926	279.141847799703	279.657101274241	68.7731593461108	74.912946402125	82.4013909982337	82.316571575174	125.586373651888	131.073137326412	146.413835423173	149.507728806724	83.4815712881996	84.6653925044064	119.573762419772	116.112429006451	228.482470325873	224.787485563981	98.3887068146654	104.646156386572	56.7219178287286	60.0825947086351	55.5138168490695	60.5254725888357	59.3375577677047	60.6698377121168	140.489584201122	145.690515894035	126.030857720162	131.158355176025	60.7384813962161	74.0881216743813	1199.71900959208	734.390297190984	50.7612074651247	53.7418264109312	81.8144077771305	79.0080888638648	58.9674526212525	73.1929192824665	743.860609998144	822.404079174896	79.7623301955466	72.2145401955872	145.821791431343	83.622618267869
BG063058	1	1	1	10	133.258601166276	140.763896932959	252.207657027457	234.140393261617	269.171973450120	277.840961826061	218.995415546210	212.812674108997	119.006103111889	114.851252520632	107.484013632433	107.653218455069	256.779304107415	260.768679285732	72.4973125965278	69.9888012158262	120.671898314475	125.795650951313	129.396312311168	134.285125206774	101.375274434417	101.563226905599	126.827351540631	119.832195621708	213.930893146229	234.201798829274	219.234088133868	214.948324875579	124.499254806045	136.434551567896	60.7960422244417	67.5701879545783	57.7852272521012	66.6260250773696	59.10772185789	65.1353136102315	142.649990605742	154.377858046024	120.791631447630	131.747537551056	62.991262094351	76.1057937340475	96.2441291657403	84.4934654247432	53.846359963865	59.3540585128644	84.269077953441	80.6701599815287	80.343198840654	109.330971715745	140.624143087920	147.208008137390	62.7391130945091	60.9189357561145	61.3556801524884	65.6499934478623
BG063038	1	1	1	11	97.3172228621198	92.1522392054485	162.200077525521	172.250225932254	235.139361996972	253.968538031369	140.369512638262	141.36972927404	173.716703719871	176.649679293274	122.752372819286	129.846777165482	164.210899049004	177.472994598873	120.874390380767	134.172341625978	144.112657252589	164.385283372286	138.089715582649	142.465352448535	88.8323074718514	93.524532193792	96.1515210278294	88.8285479907069	162.394191307895	171.471650406539	193.112582830088	217.531138491173	363.09277871638	412.776041787026	206.396044120487	247.790601888399	243.396341757919	258.775458764473	130.713504499155	153.664306354283	356.313004501149	372.18680857766	394.099295137829	458.006401500601	133.376983304014	183.337479932822	163.618879507202	235.101231079552	172.956130017462	209.232248642163	206.004682805474	245.178892596794	132.670859903491	181.155078194888	183.635790076686	202.999643938868	143.291596219891	179.919832566017	145.327012164449	155.545756176565
