Array	Dye	Strain	Diet	Sample
Array1	Cy5	pera	hi	1
Array1	Cy3	I	hi	2
Array2	Cy5	I	hi	2
Array2	Cy3	pera	hi	1
Array3	Cy5	DBA	hi	3
Array3	Cy3	pera	hi	1
Array4	Cy5	pera	hi	1
Array4	Cy3	DBA	hi	3
Array5	Cy5	DBA	lo	4
Array5	Cy3	DBA	hi	3
Array6	Cy5	DBA	hi	3
Array6	Cy3	DBA	lo	4
Array7	Cy5	pera	lo	5
Array7	Cy3	DBA	lo	4
Array8	Cy5	DBA	lo	4
Array8	Cy3	pera	lo	5
Array9	Cy5	pera	hi	1
Array9	Cy3	pera	lo	5
Array10	Cy5	pera	lo	5
Array10	Cy3	pera	hi	1
Array11	Cy5	I	lo	6
Array11	Cy3	pera	lo	5
Array12	Cy5	pera	lo	5
Array12	Cy3	I	lo	6
Array13	Cy5	I	hi	2
Array13	Cy3	I	lo	6
Array14	Cy5	I	lo	6
Array14	Cy3	I	hi	2
Array15	Cy5	pera	hi	7
Array15	Cy3	I	hi	8
Array16	Cy5	I	hi	8
Array16	Cy3	pera	hi	7
Array17	Cy5	DBA	hi	9
Array17	Cy3	pera	hi	7
Array18	Cy5	pera	hi	7
Array18	Cy3	DBA	hi	9
Array19	Cy5	DBA	lo	10
Array19	Cy3	DBA	hi	9
Array20	Cy5	DBA	hi	9
Array20	Cy3	DBA	lo	10
Array21	Cy5	pera	lo	11
Array21	Cy3	DBA	lo	10
Array22	Cy5	DBA	lo	10
Array22	Cy3	pera	lo	11
Array23	Cy5	pera	hi	7
Array23	Cy3	pera	lo	11
Array24	Cy5	pera	lo	11
Array24	Cy3	pera	hi	7
Array25	Cy5	I	lo	12
Array25	Cy3	pera	lo	11
Array26	Cy5	pera	lo	11
Array26	Cy3	I	lo	12
Array27	Cy5	I	hi	8
Array27	Cy3	I	lo	12
Array28	Cy5	I	lo	12
Array28	Cy3	I	hi	8
